"","Product","FLOW","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"96","Total RD&D in Million USD (2010 prices and exch. rates)","344 Applications for heat and electricity",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.489,13.372,43.775,36.075,66.113,129.381,73.195,72.076,79.613
"97","Total RD&D in Million USD (2010 prices and exch. rates)","345 Other biofuels",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.268,1.244,25.655,46.792,42.676,63.751,30.933,19.628,7.764
"98","Total RD&D in Million USD (2010 prices and exch. rates)","349 Unallocated biofuels",77.722,114.738,96.962,115.292,109.059,87.053,87.629,68.015,73.398,61.058,60.016,70.827,88.96,88.382,81.618,82.241,74.431,79.849,89.205,76.948,95.286,96.482,87.189,87.79,5.034,12.57,13.77,27.18,26.821,36.904,31.452
"99","Total RD&D in Million USD (2010 prices and exch. rates)","35 Geothermal energy",66.958,98.191,66.021,65.315,68.322,51.028,41.29,37.457,28.788,26.5,27.826,25.878,11.53,12.586,8.077,7.349,5.897,8.167,7.787,6.723,5.137,17.228,30.112,25.914,16.449,23.858,23.855,28.119,17.874,41.115,21.534
"100","Total RD&D in Million USD (2010 prices and exch. rates)","351 Hydrothermal resources",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.392,0
"101","Total RD&D in Million USD (2010 prices and exch. rates)","352 Hot dry rock resources",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102","Total RD&D in Million USD (2010 prices and exch. rates)","353 Advanced drilling and exploration",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103","Total RD&D in Million USD (2010 prices and exch. rates)","354 Other geothermal energy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.944,0.099,0
"104","Total RD&D in Million USD (2010 prices and exch. rates)","359 Unallocated geothermal energy",66.958,98.191,66.021,65.315,68.322,51.028,41.29,37.457,28.788,26.5,27.826,25.878,11.53,12.586,8.077,7.349,5.897,8.167,7.787,6.723,5.137,17.228,30.112,25.914,16.449,23.858,23.855,28.115,16.93,40.624,21.534
"105","Total RD&D in Million USD (2010 prices and exch. rates)","36 Hydroelectricity",0,0,0,0,0,0.23,0.061,0.486,0.236,0.57,0.444,0.767,11.832,2.142,1.726,2.111,2.318,2.851,3.023,4.097,2.701,3.76,2.501,14.708,4.109,3.141,3.011,5.757,6.217,15.214,2.964
"106","Total RD&D in Million USD (2010 prices and exch. rates)","361 Large hydroelectricity (10MW plus)",0,0,0,0,0,0,0,0,0,0,0,0,0.089,1.071,0.99,0.894,0.967,1.62,1.852,0.192,0.196,0.136,0.155,0.15,0,0.63,0.23,0.705,1.53,1.244,0
"107","Total RD&D in Million USD (2010 prices and exch. rates)","362 Small hydroelectricity (less than 10MW)",0,0,0,0,0,0.23,0.061,0.486,0.236,0.57,0.444,0.767,11.743,1.071,0.736,1.138,1.349,1.231,1.171,3.75,2.505,3.626,2.346,14.559,4.109,2.511,2.766,5.053,4.687,13.97,2.964
"108","Total RD&D in Million USD (2010 prices and exch. rates)","369 Unallocated hydroelectricity",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083,0.001,0,0,0.155,0,0,0,0,0,0,0.014,0,0,0,0
"109","Total RD&D in Million USD (2010 prices and exch. rates)","37 Other renewable energy sources",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.454,4.4,4.903,5.977,6.247,9.169,4.067,78.16,71.578
"110","Total RD&D in Million USD (2010 prices and exch. rates)","39 Unallocated renewable energy sources",0.003,0.026,0.003,0.003,0.012,0.007,0.01,0.003,0,0.001,0.005,0.002,0.004,0.011,0.002,0.005,0.019,0.004,0,0.001,3.127,4.653,5.474,0,0.003,8.835,10.049,0.14,73.049,29.724,42.271
"111","Total RD&D in Million USD (2010 prices and exch. rates)","GROUP 4: NUCLEAR",4851.415,5447.797,5640.699,4588.686,5133.907,5117.267,4153.937,3095.864,2778.615,2232.588,1978.726,1850.923,1397.927,1490.742,1373.808,1379.723,1331.422,1335.893,1394.728,1221.909,1370.735,1064.996,1222.278,1211.958,1116.526,1130.118,1150.799,1175.301,1101.616,1149.665,534.109
"112","Total RD&D in Million USD (2010 prices and exch. rates)","41 Nuclear fission",4484.582,4973.17,5155.125,4107.801,4587.26,4541.696,3573.543,2494.71,2156.669,1665.963,1423.066,1345.228,1035.805,1017.028,928.569,991.262,931.485,910.376,969.003,990.785,963.325,685.835,885.399,849.292,788.444,791.241,763.424,789.324,716.493,775.753,226.802
"113","Total RD&D in Million USD (2010 prices and exch. rates)","411 Light water reactors (LWRs)",559.987,852.694,365.009,436.011,414.167,350.809,320.837,233.695,200.419,206.991,140.817,136.883,134.911,191.013,181.171,204.913,280.614,253.972,278,235.884,206.222,92.937,104.45,83.903,54.705,45.246,45.785,84.357,45.378,28.616,9.336
"114","Total RD&D in Million USD (2010 prices and exch. rates)","412 Other converter reactors",532.123,500.906,757.856,567.599,561.171,412.283,176.321,206.552,90.629,63.213,33.88,19.293,6.959,9.438,15.219,6.93,6.822,6.639,8.068,8.092,2.184,0.567,48.237,55.538,54.17,53.36,47.597,46.455,60.526,59.716,5.298
"115","Total RD&D in Million USD (2010 prices and exch. rates)","4121 Heavy water reactors (HWRs)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"116","Total RD&D in Million USD (2010 prices and exch. rates)","4122 Other converter reactors",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"117","Total RD&D in Million USD (2010 prices and exch. rates)","4129 Unallocated other converter reactors",532.123,500.906,757.856,567.599,561.171,412.283,176.321,206.552,90.629,63.213,33.88,19.293,6.959,9.438,15.219,6.93,6.822,6.639,8.068,8.092,2.184,0.567,48.237,55.538,54.17,53.36,47.597,46.455,60.526,59.716,5.298
"118","Total RD&D in Million USD (2010 prices and exch. rates)","413 Fuel cycle",1113.4,1163.766,1085.148,820.227,956.451,985.285,828.879,795.116,699.996,575.067,507.97,399.387,324.176,352.048,287.838,403.425,350.995,363.389,393.144,437.882,465.856,365.426,324.396,312.812,238.59,190.067,159.395,157.226,141.349,162.507,54.074
"119","Total RD&D in Million USD (2010 prices and exch. rates)","4131 Fissile material recycling/reprocessing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120","Total RD&D in Million USD (2010 prices and exch. rates)","4132 Nuclear waste management",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.358
"121","Total RD&D in Million USD (2010 prices and exch. rates)","4133 Other fuel cycle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"122","Total RD&D in Million USD (2010 prices and exch. rates)","4139 Unallocated fuel cycle",1113.4,1163.766,1085.148,820.227,956.451,985.285,828.879,795.116,699.996,575.067,507.97,399.387,324.176,352.048,287.838,403.425,350.995,363.389,393.144,437.882,465.856,365.426,324.396,312.812,238.59,190.067,159.395,157.226,141.349,162.507,7.716
"123","Total RD&D in Million USD (2010 prices and exch. rates)","414 Nuclear supporting technologies",676.199,511.529,782.17,695.449,745.499,754.291,699.132,452.24,443.358,459.907,440.271,536.878,389.365,330.288,317.863,345.483,265.622,262.382,250.731,272.387,264.335,221.236,376.585,368.665,402.676,464.321,470.385,462.436,428.644,382.91,49.626
"124","Total RD&D in Million USD (2010 prices and exch. rates)","4141 Plant safety and integrity",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125","Total RD&D in Million USD (2010 prices and exch. rates)","4142 Environmental protection",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0
"126","Total RD&D in Million USD (2010 prices and exch. rates)","4143 Decommissioning",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.623
"127","Total RD&D in Million USD (2010 prices and exch. rates)","4144 Other nuclear supporting technologies",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"128","Total RD&D in Million USD (2010 prices and exch. rates)","4149 Unallocated nuclear supporting technologies",676.199,511.529,782.17,695.449,745.499,754.291,699.132,452.24,443.358,459.907,440.271,536.878,389.365,330.288,317.863,345.483,265.622,262.382,250.731,272.387,264.335,221.236,376.585,368.665,402.676,464.306,470.385,462.436,428.644,382.91,43.003
"129","Total RD&D in Million USD (2010 prices and exch. rates)","415 Nuclear breeder",1602.872,1944.274,2164.934,1588.525,1909.961,2039.012,1548.378,807.111,722.267,360.776,300.126,252.79,180.396,134.237,99.105,30.51,27.429,18.074,33.121,30.666,18.926,0,14.723,18.652,14.634,12.902,11.187,12.289,11.977,14.577,0
"130","Total RD&D in Million USD (2010 prices and exch. rates)","416 Other nuclear fission",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.868,9.723,19.5,21.094,24.242,21.313,16.406,64.072,51.123
"131","Total RD&D in Million USD (2010 prices and exch. rates)","419 Unallocated nuclear fission",0.006,0.003,0.008,0.003,0.003,0.02,0,0.001,0.004,0.003,0.004,0.003,0,0.002,27.376,0.004,0.001,5.918,5.942,5.871,5.802,5.673,6.141,0,4.168,4.253,4.971,5.387,12.343,63.354,57.346
"132","Total RD&D in Million USD (2010 prices and exch. rates)","42 Nuclear fusion",366.831,474.635,485.577,480.894,546.649,575.566,580.388,601.156,621.923,566.622,555.657,505.689,362.12,473.714,445.238,388.463,399.941,425.52,425.724,231.121,405.769,377.445,335.055,362.663,328.081,339.02,387.376,341.826,385.122,373.917,307.308
"133","Total RD&D in Million USD (2010 prices and exch. rates)","421 Magnetic confinement",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.225
"134","Total RD&D in Million USD (2010 prices and exch. rates)","422 Inertial confinement",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"135","Total RD&D in Million USD (2010 prices and exch. rates)","423 Other nuclear fusion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.485,173.551
"136","Total RD&D in Million USD (2010 prices and exch. rates)","429 Unallocated nuclear fusion",366.831,474.635,485.577,480.894,546.649,575.566,580.388,601.156,621.923,566.622,555.657,505.689,362.12,473.714,445.238,388.463,399.941,425.52,425.724,231.121,405.769,377.445,335.055,362.663,328.081,339.02,387.376,341.826,385.122,183.432,67.532
"137","Total RD&D in Million USD (2010 prices and exch. rates)","49 Unallocated nuclear",0,0,0,0.005,0.003,0.007,0.004,0,0.024,0.001,0.001,0.002,0.004,0.001,0.003,0.001,0,0.002,0.001,0.001,1.641,1.715,1.827,0.001,0.001,0,0,44.151,0,0,0
"138","Total RD&D in Million USD (2010 prices and exch. rates)","GROUP 5: HYDROGEN AND FUEL CELLS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.077,38.755,92.143,140.642,201.12,233.971,214.085,189.533,96.062
"139","Total RD&D in Million USD (2010 prices and exch. rates)","51 Hydrogen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.199,27.995,18.63,31.413,51.26,53.836,48.783,71.49,13.163
"140","Total RD&D in Million USD (2010 prices and exch. rates)","511 Hydrogen production",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.286,21.906,5.734,11.389,23.145,20.068,25.758,27.508,2.717
"141","Total RD&D in Million USD (2010 prices and exch. rates)","512 Hydrogen storage",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.914,4.877,6.087,11.036,10.468,11.062,12.302,10.072,0.012
"142","Total RD&D in Million USD (2010 prices and exch. rates)","513 Hydrogen transport and distribution",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.735,1.167,2.246,1.636,14.065,1.316
"143","Total RD&D in Million USD (2010 prices and exch. rates)","514 Other infrastructure and systems",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.004,1.214,5.284,5.318,6.583,0
"144","Total RD&D in Million USD (2010 prices and exch. rates)","515 Hydrogen end-uses",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.212,4.118,2.335,13.021,9.076,3.764,5.457,0.133
"145","Total RD&D in Million USD (2010 prices and exch. rates)","519 Unallocated hydrogen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.693,2.915,2.245,6.236,0.001,7.807,8.984
"146","Total RD&D in Million USD (2010 prices and exch. rates)","52 Fuel cells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.878,10.76,73.513,109.37,149.856,180.003,149.145,115.531,79.144
"147","Total RD&D in Million USD (2010 prices and exch. rates)","521 Stationary applications",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.939,8.879,57.161,66.626,91.686,107.906,78.839,37.253,35.087
"148","Total RD&D in Million USD (2010 prices and exch. rates)","522 Mobile applications",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94,1.881,12.364,30.698,43.822,41.812,44.336,24.228,1.111
"149","Total RD&D in Million USD (2010 prices and exch. rates)","523 Other applications",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.839,8.015,4.274,18.091,10.13,8.84,8.771
"150","Total RD&D in Million USD (2010 prices and exch. rates)","529 Unallocated fuel cells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.151,4.031,10.078,12.196,15.834,45.21,34.177
"151","Total RD&D in Million USD (2010 prices and exch. rates)","59 Unallocated hydrogen and fuel cells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138,16.162,2.512,3.753
"152","Total RD&D in Million USD (2010 prices and exch. rates)","GROUP 6: OTHER POWER AND STORAGE TECHNOLOGIES",230.432,174.604,33.603,138.712,140.502,111.602,108.434,158.913,193.537,196.107,100.842,138.592,82.477,124.741,159.235,110.995,116.009,141.196,133.014,91.823,229.731,260.323,248.192,236.173,187.188,154.485,226.473,200.56,224.386,215.801,136.261
"153","Total RD&D in Million USD (2010 prices and exch. rates)","61 Electric power conversion",126.147,54.177,11.342,40.262,23.846,23.023,43.645,94.601,164.082,169.302,72.456,115.635,61.118,98.746,124.632,82.57,85.47,104.105,94.642,73.446,123.1,137.199,126.823,120.735,74.53,59.2,49.118,87.062,85.909,37.347,8.262
"154","Total RD&D in Million USD (2010 prices and exch. rates)","611 Power generation technologies",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707,0.434,0.873,0.107,0
"155","Total RD&D in Million USD (2010 prices and exch. rates)","612 Power generation supporting technologies",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338,0.11,0,0,0
"156","Total RD&D in Million USD (2010 prices and exch. rates)","613 Other electricity power generation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245,0,0.008,0
"157","Total RD&D in Million USD (2010 prices and exch. rates)","619 Unallocated electric power generation",126.147,54.177,11.342,40.262,23.846,23.023,43.645,94.601,164.082,169.302,72.456,115.635,61.118,98.746,124.632,82.57,85.47,104.105,94.642,73.446,123.1,137.199,126.823,120.735,74.53,59.2,48.074,86.271,85.036,37.232,8.262
"158","Total RD&D in Million USD (2010 prices and exch. rates)","62 Electricity transmission and distribution",76.947,48.019,7.046,62.799,76.765,26.033,24.908,21.541,13.35,7.294,9.499,8.412,9.307,11.924,15.244,14.575,18.651,23.864,25.752,13.41,72.904,85.013,85.219,83.69,69.453,66.632,135.998,61.789,68.994,90.5,74.693
"159","Total RD&D in Million USD (2010 prices and exch. rates)","621 Transmission and distribution technologies",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.649
"160","Total RD&D in Million USD (2010 prices and exch. rates)","6211 Cables and conductors",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.649
"161","Total RD&D in Million USD (2010 prices and exch. rates)","6212 AC/DC conversion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"162","Total RD&D in Million USD (2010 prices and exch. rates)","6213 Other transmission and distribution techs.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"163","Total RD&D in Million USD (2010 prices and exch. rates)","6219 Unallocated transmission and distribution",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"164","Total RD&D in Million USD (2010 prices and exch. rates)","622 Grid comm, control systems and integration",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.649
"165","Total RD&D in Million USD (2010 prices and exch. rates)","6221 Load management",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"166","Total RD&D in Million USD (2010 prices and exch. rates)","6222 Control systems and monitoring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"167","Total RD&D in Million USD (2010 prices and exch. rates)","6223 Standards, interoper.+grid cyber security",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"168","Total RD&D in Million USD (2010 prices and exch. rates)","6229 Unallocated grid comm,, control and integration",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.649
"169","Total RD&D in Million USD (2010 prices and exch. rates)","629 Unallocated electricity transmission/distribution",76.947,48.019,7.046,62.799,76.765,26.033,24.908,21.541,13.35,7.294,9.499,8.412,9.307,11.924,15.244,14.575,18.651,23.864,25.752,13.41,72.904,85.013,85.219,83.69,69.453,66.632,135.998,61.789,68.994,90.5,69.395
"170","Total RD&D in Million USD (2010 prices and exch. rates)","63 Energy storage",27.34,72.435,15.218,35.647,39.893,62.524,39.859,42.775,16.104,19.509,18.889,14.545,12.053,14.069,19.357,13.844,11.887,13.223,12.616,4.974,29.933,34.138,31.918,31.75,43.207,25.304,27.04,41.618,53.934,72.487,40.148
"171","Total RD&D in Million USD (2010 prices and exch. rates)","631 Electrical storage",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162,3.751,6.623
"172","Total RD&D in Million USD (2010 prices and exch. rates)","6311 Batteries/other electrochemical storage",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.197,3.974
"173","Total RD&D in Million USD (2010 prices and exch. rates)","6312 Electromagnetic storage",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.649
"174","Total RD&D in Million USD (2010 prices and exch. rates)","6313 Mechanical storage",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136,0,0
"175","Total RD&D in Million USD (2010 prices and exch. rates)","6314 Other storage (excl. fuel cells)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0
"176","Total RD&D in Million USD (2010 prices and exch. rates)","6319 Unallocated electrical storage",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.554,0
"177","Total RD&D in Million USD (2010 prices and exch. rates)","632 Thermal energy storage",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.159,0.177,0.24,0
"178","Total RD&D in Million USD (2010 prices and exch. rates)","639 Unallocated energy storage",27.34,72.435,15.218,35.647,39.893,62.524,39.859,42.775,16.104,19.509,18.889,14.545,12.053,14.069,19.357,13.844,11.887,13.223,12.616,4.974,29.933,34.138,31.918,31.75,43.207,25.304,26.88,41.459,53.595,68.496,33.525
"179","Total RD&D in Million USD (2010 prices and exch. rates)","69 Unallocated other power and storage techs.",0.003,0,0,0,0.003,0.02,0.017,0,0,0.001,0,0,0,0.002,0.003,0.004,0,0.001,0,0,3.793,3.975,4.229,0,0,3.352,14.319,10.233,15.551,15.473,18.158
"180","Total RD&D in Million USD (2010 prices and exch. rates)","GROUP 7: OTHER CROSS-CUTTING TECHS/RESEARCH",198.215,333.888,212.792,305.435,286.435,255.031,205.313,457.496,605.183,606.972,569.047,583.314,114.171,225.561,216.903,227.76,185.206,196.869,173.93,122.439,183.893,169.64,140.43,289.758,269.984,267.633,261.717,250.423,266.984,208.538,147.38
"181","Total RD&D in Million USD (2010 prices and exch. rates)","71 Energy system analysis",22.814,28.277,17.258,26.766,39.656,34.367,30.825,285.788,192.851,197.737,44.476,42.688,62.23,28.815,26.449,39.909,36.577,52.059,46.273,27.235,25.133,38.528,22.7,39.104,41.653,43.948,47.996,46.553,47.38,63.878,31.713
"182","Total RD&D in Million USD (2010 prices and exch. rates)","72 Basic energy research not allocated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"183","Total RD&D in Million USD (2010 prices and exch. rates)","73 Other",175.402,305.613,195.535,278.671,246.779,220.664,174.489,171.709,412.332,409.233,524.572,540.627,51.939,196.742,190.456,187.849,148.633,144.809,127.66,95.203,158.759,131.112,117.728,250.653,228.334,223.688,213.721,203.866,219.602,144.662,115.668
"184","Total RD&D in Million USD (2010 prices and exch. rates)","TOTAL BUDGET",5741.218,6662.555,6505.3,5530.44,6233.751,7007.142,5821.804,4925.156,4722.152,4056.467,3741.58,3633.696,2435.07,2775.134,2574.765,2527.427,2450.408,2486.759,2510.3,2106.605,2488.703,2314.866,2769.065,2818.662,2607.558,2830.863,3209.172,3593.919,3644.464,4315.652,2456.913
