"","Product","FLOW","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"26","Total RD&D in Million USD (2010 prices and exch. rates)","1311 Vehicle batteries/storage technologies",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.649
"27","Total RD&D in Million USD (2010 prices and exch. rates)","1312 Advd power elecs, motors, EV/HEV/FCV sys",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","Total RD&D in Million USD (2010 prices and exch. rates)","1313 Advanced combustion engines",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","Total RD&D in Million USD (2010 prices and exch. rates)","1314 Electric vehicle infrastructure",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.649
"30","Total RD&D in Million USD (2010 prices and exch. rates)","1315 Fuel for on-road vehicles (excl. hydrogen)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","Total RD&D in Million USD (2010 prices and exch. rates)","1316 Materials for on-road vehicles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","Total RD&D in Million USD (2010 prices and exch. rates)","1317 Other on-road transport",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","Total RD&D in Million USD (2010 prices and exch. rates)","1319 Unallocated on-road vehicles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282,2.649
"34","Total RD&D in Million USD (2010 prices and exch. rates)","132 Off-road transport and transport systems",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","Total RD&D in Million USD (2010 prices and exch. rates)","133 Other transport",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","Total RD&D in Million USD (2010 prices and exch. rates)","139 Unallocated transport",43.982,46.331,84.47,92.024,91.856,96.874,103.008,90.858,77.203,66.559,75.327,59.244,65.485,75.398,73.014,73.676,70.19,64.724,69.828,47.914,56.849,66.132,120.429,107.052,90.025,90.911,132.26,155.532,181.413,336.319,241.057
"37","Total RD&D in Million USD (2010 prices and exch. rates)","14 Other energy efficiency",130.687,132.032,125.92,70.305,153.125,77.159,94.002,78.856,70.683,71.67,98.57,75.395,22.162,65.688,40.592,41.248,37.495,37.164,36.8,21.997,23.675,26.022,15.936,12.544,13.447,13.497,38.444,64.46,58.825,206.242,120.982
"38","Total RD&D in Million USD (2010 prices and exch. rates)","141 Waste heat recovery and utilisation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327,2.293,0.686,2.632,4.658,0
"39","Total RD&D in Million USD (2010 prices and exch. rates)","142 Communities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0.825,0.078,0.23,6.973,5.559
"40","Total RD&D in Million USD (2010 prices and exch. rates)","143 Agriculture and forestry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","Total RD&D in Million USD (2010 prices and exch. rates)","144 Heat pumps and chillers",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","Total RD&D in Million USD (2010 prices and exch. rates)","145 Other energy efficiency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346,0.09,0.127,0.268,74.89,67.967
"43","Total RD&D in Million USD (2010 prices and exch. rates)","149 Unallocated other energy efficiency",130.687,132.032,125.92,70.305,153.125,77.159,94.002,78.856,70.683,71.67,98.57,75.395,22.162,65.688,40.592,41.248,37.495,37.164,36.8,21.997,23.675,26.022,15.936,12.544,13.447,12.814,35.236,63.569,55.695,119.721,47.456
"44","Total RD&D in Million USD (2010 prices and exch. rates)","19 Unallocated energy efficiency",0.01,0.005,0.006,0.01,0,0,0.003,0,0.008,0.008,0,0.003,0.001,0.117,0.001,0,0.02,0,0,0.002,0.874,0.916,2.451,0,0,3.189,8.594,10.814,38.281,29.39,36.807
"45","Total RD&D in Million USD (2010 prices and exch. rates)","GROUP 2: FOSSIL FUELS",614.998,746.14,665.997,641.558,631.036,582.557,527.814,446.447,395.038,324.592,296.971,222.415,206.216,178.022,174.423,150.232,123.606,123.63,92.855,105.59,101.711,121.473,359.729,324.242,277.518,303.909,328.954,364.555,338.152,368.745,176.211
"46","Total RD&D in Million USD (2010 prices and exch. rates)","21 Oil and gas",139.901,141.091,125.886,184.275,134.485,161.456,183.492,152.827,154.814,119.189,102.81,72.59,89.319,84.597,87.245,84.91,75.607,82.897,74.389,72.891,75.561,76.044,298.581,273.847,213.497,214.113,195.726,188.843,182.124,169.787,30.773
"47","Total RD&D in Million USD (2010 prices and exch. rates)","211 Enhanced oil and gas production",30.492,13.904,14.668,53.266,37.674,30.805,70.88,59.899,49.375,22.837,25.987,12.421,21.341,37.484,25.332,30.441,28.335,33.115,29.411,28.89,26.672,15.683,201.363,198.208,150.947,135.497,128.711,114.591,109.735,102.33,8.708
"48","Total RD&D in Million USD (2010 prices and exch. rates)","212 Refining, transpt, storage of oil and gas",4.778,9.486,37.765,34.283,15.392,4.196,4.554,3.171,6.535,5.471,1.902,0.869,1.94,0.597,0.235,5.921,5.014,7.758,7.395,8.189,9.678,11.306,7.184,5.025,0.882,7.24,5.359,7.314,6.826,4.159,3.569
"49","Total RD&D in Million USD (2010 prices and exch. rates)","213 Non-conventional oil and gas production",2.578,0.586,2.575,0.814,0.799,0.277,0.11,0.026,0,0,0,0,0,0,3.62,0.019,0,0,0,0,0,0.623,0.584,0.551,0.879,0,0,0.413,0.269,0.417,0.004
"50","Total RD&D in Million USD (2010 prices and exch. rates)","214 Oil and gas combustion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.499,0.49,5.189,19.602,19.305,22.954,10.82,9.218
"51","Total RD&D in Million USD (2010 prices and exch. rates)","215 Oil and gas conversion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.572,0.564,0.552,0.727,0.527,0.648,0.519,0
"52","Total RD&D in Million USD (2010 prices and exch. rates)","216 Other oil and gas",102.048,117.12,70.878,95.917,80.614,126.172,107.95,89.731,98.905,90.882,74.867,59.3,66.029,46.52,58.057,48.532,42.254,42.027,37.583,35.81,39.211,48.432,89.451,68.99,59.735,65.633,41.326,43.802,38.79,40.57,0.398
"53","Total RD&D in Million USD (2010 prices and exch. rates)","219 Unallocated oil and gas",0,0,0,0,0.007,0.001,0,0,0,0,0.056,0,0.004,0.001,0,0.001,0,0.001,0,0.001,0,0,0,0,0,0,0,2.893,2.902,10.974,8.875
"54","Total RD&D in Million USD (2010 prices and exch. rates)","22 Coal",475.1,605.036,540.11,457.285,496.55,421.112,344.322,293.616,240.13,205.406,194.156,149.822,116.901,93.421,87.173,65.319,48.002,40.732,18.466,32.702,25.38,44.624,56.206,45.792,40.053,44.85,70.895,69.309,64.764,29.591,16.323
"55","Total RD&D in Million USD (2010 prices and exch. rates)","221 Coal production, preparation and transport",204.693,216.732,71.154,86.882,92.722,69.277,53.985,67.021,48.535,33.944,37.888,29.072,16.766,13.683,10.943,8.167,6.128,3.582,2.123,2.622,0.642,0.183,0.76,0.155,0,0.012,0.298,0.065,0.077,0.041,1.325
"56","Total RD&D in Million USD (2010 prices and exch. rates)","222 Coal combustion (incl. IGCC)",60.096,64.174,177.854,122.685,117.292,122.629,99.303,98.267,93.464,72.262,94.257,60.305,55.29,53.289,42.126,37.882,20.878,18.591,8.407,21.473,19.115,39.475,29.679,23.712,17.276,19.681,51.274,48.026,59.794,6.714,2.929
"57","Total RD&D in Million USD (2010 prices and exch. rates)","223 Coal conversion (excl. IGCC)",171.507,253.225,235.376,172.439,190.215,132.955,121.892,89.763,55.939,35.319,24.888,23.971,19.751,12.547,10.094,8.72,13.593,6.919,2.237,0.423,0.834,1.496,11.784,8.434,5.971,5.992,6.001,10.609,0.054,0.04,0.028
"58","Total RD&D in Million USD (2010 prices and exch. rates)","224 Other coal",38.777,70.878,55.755,75.264,96.304,96.246,69.138,38.566,42.169,63.884,37.132,36.483,25.088,13.906,24.015,10.554,7.406,11.641,5.702,8.18,4.789,3.467,13.981,13.491,16.807,19.166,13.321,10.607,4.836,5.294,0.034
"59","Total RD&D in Million USD (2010 prices and exch. rates)","229 Unallocated coal",0.026,0.027,0,0.026,0.016,0.004,0.001,0.007,0.03,0.003,0,0,0.003,0.001,0,0.004,0.001,0,0,0.001,0.001,0,0,0,0,0,0,0,0.001,17.503,12.008
"60","Total RD&D in Million USD (2010 prices and exch. rates)","23 CO2 capture and storage",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.086,4.607,23.966,44.035,44.766,92.894,68.853,169.294,132.372
"61","Total RD&D in Million USD (2010 prices and exch. rates)","231 CO2 capture/separation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,1.077,7.916,15.374,27.612,72.411,42.612,95.539,14.367
"62","Total RD&D in Million USD (2010 prices and exch. rates)","232 CO2 transport",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.621,0.764,1.09,0.611,0.36,0.062,0.06
