Detailed Country RD&D Budgets
COUNTRY,PRODUCT,FLOW,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
United Kingdom,Total RD&D in Million USD (2010 prices and exch. rates),"1312 Advd power elecs, motors, EV/HEV/FCV sys",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United Kingdom,Total RD&D in Million USD (2010 prices and exch. rates),1313 Advanced combustion engines,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United Kingdom,Total RD&D in Million USD (2010 prices and exch. rates),1314 Electric vehicle infrastructure,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United Kingdom,Total RD&D in Million USD (2010 prices and exch. rates),1315 Fuel for on-road vehicles (excl. hydrogen),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United Kingdom,Total RD&D in Million USD (2010 prices and exch. rates),1316 Materials for on-road vehicles,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United Kingdom,Total RD&D in Million USD (2010 prices and exch. rates),1317 Other on-road transport,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United Kingdom,Total RD&D in Million USD (2010 prices and exch. rates),1319 Unallocated on-road vehicles,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United Kingdom,Total RD&D in Million USD (2010 prices and exch. rates),132 Off-road transport and transport systems,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United Kingdom,Total RD&D in Million USD (2010 prices and exch. rates),133 Other transport,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United Kingdom,Total RD&D in Million USD (2010 prices and exch. rates),139 Unallocated transport,7.826,8.326,60.488,60.978,55.258,50.111,45.028,38.758,29.779,33.715,22.307,15.363,16.443,12.316,1.927,0.835,0.239,0.255,0.062,0.914,1.003,..,..,..,..,..,..,..,..,60.511,146.650
