Detailed Country RD&D Budgets
COUNTRY,PRODUCT,FLOW,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Italy,Total RD&D in Million USD (2010 prices and exch. rates),"1312 Advd power elecs, motors, EV/HEV/FCV sys",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),1313 Advanced combustion engines,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),1314 Electric vehicle infrastructure,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.649
Italy,Total RD&D in Million USD (2010 prices and exch. rates),1315 Fuel for on-road vehicles (excl. hydrogen),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),1316 Materials for on-road vehicles,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),1317 Other on-road transport,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),1319 Unallocated on-road vehicles,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.649
Italy,Total RD&D in Million USD (2010 prices and exch. rates),132 Off-road transport and transport systems,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),133 Other transport,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),139 Unallocated transport,2.797,..,..,..,8.636,0.685,16.383,19.928,13.772,3.000,2.921,2.364,..,10.789,13.918,23.224,29.354,20.783,23.844,..,..,..,..,1.532,1.493,1.464,22.987,19.593,20.432,33.350,11.921
Italy,Total RD&D in Million USD (2010 prices and exch. rates),14 Other energy efficiency,..,5.792,19.722,24.144,29.593,15.306,31.423,26.470,20.939,21.152,28.098,4.787,..,39.593,22.509,21.668,16.192,13.856,12.596,..,..,..,..,..,..,1.464,15.804,15.395,13.621,33.350,13.245
Italy,Total RD&D in Million USD (2010 prices and exch. rates),141 Waste heat recovery and utilisation,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),142 Communities,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),143 Agriculture and forestry,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),144 Heat pumps and chillers,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),145 Other energy efficiency,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),149 Unallocated other energy efficiency,..,5.792,19.722,24.144,29.593,15.306,31.423,26.470,20.939,21.152,28.098,4.787,..,39.593,22.509,21.668,16.192,13.856,12.596,..,..,..,..,..,..,1.464,15.804,15.395,13.621,33.350,13.245
Italy,Total RD&D in Million USD (2010 prices and exch. rates),19 Unallocated energy efficiency,..,..,..,..,..,..,..,..,..,..,..,..,..,0.106,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),GROUP 2: FOSSIL FUELS,..,0.809,..,15.771,17.808,6.016,13.930,9.694,9.992,0.750,..,..,..,..,..,..,..,..,..,..,..,..,21.328,20.687,20.154,19.750,61.777,56.682,46.311,28.013,29.139
Italy,Total RD&D in Million USD (2010 prices and exch. rates),21 Oil and gas,..,..,..,1.024,1.270,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.160,3.065,2.985,2.926,20.689,20.993,20.432,9.338,6.623
Italy,Total RD&D in Million USD (2010 prices and exch. rates),211 Enhanced oil and gas production,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),"212 Refining, transpt, storage of oil and gas",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),213 Non-conventional oil and gas production,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),214 Oil and gas combustion,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.815,16.795,17.707,8.004,6.623
Italy,Total RD&D in Million USD (2010 prices and exch. rates),215 Oil and gas conversion,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),216 Other oil and gas,..,..,..,1.024,1.270,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.160,3.065,2.985,2.926,2.873,4.199,2.725,1.334,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),219 Unallocated oil and gas,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),22 Coal,..,0.809,..,14.748,16.538,6.020,13.930,9.694,9.992,0.750,..,..,..,..,..,..,..,..,..,..,..,..,18.170,17.623,17.168,16.824,39.652,32.189,14.983,4.001,2.649
Italy,Total RD&D in Million USD (2010 prices and exch. rates),"221 Coal production, preparation and transport",..,..,..,0.958,0.826,0.528,1.391,1.083,1.346,0.272,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.325
Italy,Total RD&D in Million USD (2010 prices and exch. rates),222 Coal combustion (incl. IGCC),..,..,..,5.583,5.653,1.723,3.732,4.685,4.082,0.272,..,..,..,..,..,..,..,..,..,..,..,..,5.530,5.363,5.225,5.121,28.159,15.395,14.983,4.001,1.325
Italy,Total RD&D in Million USD (2010 prices and exch. rates),223 Coal conversion (excl. IGCC),..,..,..,7.927,8.848,3.697,8.739,3.927,4.475,0.204,..,..,..,..,..,..,..,..,..,..,..,..,6.319,6.130,5.971,5.852,5.747,9.797,..,..,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),224 Other coal,..,0.809,..,0.256,1.211,0.072,0.066,..,0.087,..,..,..,..,..,..,..,..,..,..,..,..,..,6.319,6.130,5.971,5.852,5.747,6.997,..,..,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),229 Unallocated coal,..,..,..,0.025,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),23 CO2 capture and storage,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.437,3.499,10.897,14.674,19.868
Italy,Total RD&D in Million USD (2010 prices and exch. rates),231 CO2 capture/separation,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.811,13.339,13.245
Italy,Total RD&D in Million USD (2010 prices and exch. rates),232 CO2 transport,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),233 CO2 storage,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.437,3.499,4.086,1.334,6.623
Italy,Total RD&D in Million USD (2010 prices and exch. rates),239 Unallocated CO2 capture and storage,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),29 Unallocated fossil fuels,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),GROUP 3: RENEWABLE ENERGY SOURCES,50.570,95.066,46.702,81.877,163.992,42.862,69.701,63.311,88.648,68.311,77.660,59.371,..,44.015,49.779,67.917,63.785,58.656,54.706,..,37.452,61.634,82.156,77.538,75.837,72.416,51.721,74.877,107.605,82.706,75.497
Italy,Total RD&D in Million USD (2010 prices and exch. rates),31 Solar energy,41.385,73.685,36.801,41.132,115.932,30.755,36.905,25.075,37.274,26.077,23.113,20.040,..,26.755,37.617,35.866,30.736,36.580,31.491,..,32.918,57.232,77.732,73.860,71.956,69.344,45.974,51.784,87.175,45.355,42.384
Italy,Total RD&D in Million USD (2010 prices and exch. rates),311 Solar heating and cooling,..,24.121,11.196,16.237,14.694,10.558,11.522,9.338,2.026,0.547,..,..,..,2.266,..,..,..,..,..,..,8.734,7.501,6.319,6.282,6.121,5.999,5.747,6.997,8.172,5.336,6.623
Italy,Total RD&D in Million USD (2010 prices and exch. rates),312 Photovoltaics,..,49.564,25.605,23.739,97.238,19.987,23.763,13.915,34.767,25.530,23.113,20.040,..,24.490,37.617,35.866,30.736,36.580,31.491,..,22.505,22.828,15.800,15.783,15.376,15.069,18.677,23.792,38.139,26.679,19.868
Italy,Total RD&D in Million USD (2010 prices and exch. rates),313 Solar thermal power and high-temp. applications,41.385,..,..,1.151,4.000,0.211,1.620,1.823,0.477,..,..,..,..,..,..,..,..,..,..,..,1.679,26.905,55.613,51.793,50.458,48.277,21.550,20.993,40.864,13.339,15.894
Italy,Total RD&D in Million USD (2010 prices and exch. rates),319 Unallocated solar energy,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),32 Wind energy,..,5.127,4.678,8.311,14.233,4.119,10.653,17.163,30.567,31.434,48.997,35.469,..,5.179,1.563,16.291,17.139,9.883,9.448,..,0.840,0.816,0.789,0.154,0.150,0.146,2.873,4.199,4.086,6.670,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),321 Onshore wind technologies,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),322 Offshore wind techs (excl. low wind speed),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),323 Wind energy systems and other technologies,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),329 Unallocated wind energy,..,5.127,4.678,8.311,14.233,4.119,10.653,17.163,30.567,31.434,48.997,35.469,..,5.179,1.563,16.291,17.139,9.883,9.448,..,0.840,0.816,0.789,0.154,0.150,0.146,2.873,4.199,4.086,6.670,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),33 Ocean energy,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),331 Tidal energy,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),332 Wave energy,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),333 Salinity gradient power,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),334 Other ocean energy,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),339 Unallocated ocean energy,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),"34 Biofuels (incl. liquids, solids and biogases)",..,16.253,5.219,25.126,28.097,6.967,17.086,16.372,17.854,10.800,5.552,3.862,..,12.082,10.601,15.758,15.907,12.192,13.767,..,3.695,3.587,3.634,3.525,3.732,2.926,2.873,16.095,16.346,22.678,26.490
Italy,Total RD&D in Million USD (2010 prices and exch. rates),341 Production of liquid biofuels,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.599,5.449,9.338,13.245
Italy,Total RD&D in Million USD (2010 prices and exch. rates),3411 Gasoline substitutes (incl. ethanol),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),"3412 Diesel, kerosene and jet fuel substitutes",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),3413 Algal biofuels,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),3414 Other liquid fuel substitutes,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),3419 Unallocated production of liquid biofuels,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.599,5.449,9.338,13.245
Italy,Total RD&D in Million USD (2010 prices and exch. rates),342 Production of solid biofuels,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.497,10.897,13.339,13.245
Italy,Total RD&D in Million USD (2010 prices and exch. rates),343 Production of biogases,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),3431 Thermochemical,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),3432 Biochemical (incl. anaerobic digestion),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),3433 Other biogases,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),3439 Unallocated production of biogases,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),344 Applications for heat and electricity,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.732,2.926,2.873,..,..,..,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),345 Other biofuels,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),349 Unallocated biofuels,..,16.253,5.219,25.126,28.097,6.967,17.086,16.372,17.854,10.800,5.552,3.862,..,12.082,10.601,15.758,15.907,12.192,13.767,..,3.695,3.587,3.634,3.525,..,..,..,..,..,..,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),35 Geothermal energy,9.184,..,..,7.309,5.731,1.023,5.057,4.701,2.955,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.400,..,2.668,6.623
Italy,Total RD&D in Million USD (2010 prices and exch. rates),351 Hydrothermal resources,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),352 Hot dry rock resources,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),353 Advanced drilling and exploration,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),354 Other geothermal energy,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,Total RD&D in Million USD (2010 prices and exch. rates),359 Unallocated geothermal energy,9.184,..,..,7.309,5.731,1.023,5.057,4.701,2.955,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.400,..,2.668,6.623
Italy,Total RD&D in Million USD (2010 prices and exch. rates),36 Hydroelectricity,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.001,..
